Input sequence (ground truth),Input sequence (masked),Masked tokens,Number of masked tokens,Duplicate count
"films, die werden geregisseerd door de Amerikaanse kinderfilmspecialist Chris Columbus. Regisseur Cuarns Potter is iets donkerder, iets vreemder n iets menselijker","films, die werden geregisseerd door de Amerikaanse kinderfilmspecialist Chris Columbus. Regisseur <extra_id_0> iets donkerder, iets vreemder n iets menselijker",['Cuarns Potter is'],3,6
Omdat ik donderdag in Carr een feestje mocht vieren ging ik voor de voorstelling met mijn hele technische ploeg eten bij de buren. Het Amstel Hotel. Daar werd ik opgewacht door een roedel vrouwelijke fans. Een stuk of twaalf,Omdat ik donderdag in Carr een feestje mocht vieren ging ik voor de voorstelling met mijn hele technische <extra_id_0> de buren. Het Amstel Hotel. Daar <extra_id_1> door een roedel vrouwelijke fans. Een stuk of twaalf,"['ploeg eten bij', 'werd ik opgewacht']",6,6
"EDITORS' NOTE: Reuters and other foreign media are subject to Iranian restrictions on leaving the office to report, film or take pictures in Tehran.","EDITORS' NOTE: Reuters and other foreign media <extra_id_0> restrictions on leaving the office to report, film or take pictures in Tehran.",['are subject to Iranian'],4,6
De laatste bladzijde In deze rubriek elk weekeinde een necrologie van iemand die recent is overleden.,De laatste <extra_id_0> deze rubriek elk weekeinde een necrologie van iemand die recent is overleden.,['bladzijde In'],2,6
"geven experts van het Nederlands Juristenblad (NJB) commentaar, dat in zijn geheel is na te lezen op nrc.nl/rechtenbestuur.",geven experts van het Nederlands Juristenblad <extra_id_0> in zijn geheel is na te lezen op nrc.nl/rechtenbestuur.,"['(NJB) commentaar, dat']",3,6
n televisieweerman Bill Murray elke ochtend wakker wordt op dezelfde tweede februari in een geestdodend provinciestadje.,n televisieweerman Bill Murray elke ochtend <extra_id_0> op dezelfde tweede februari in een geestdodend provinciestadje.,['wakker wordt'],2,6
"eerste speelfilm, na twee tv-series, is de aan Guus Kuijer ontleende titelheldin tien jaar. Ze leert na de dood van oma het platteland en opa","eerste speelfilm, <extra_id_0> de aan Guus Kuijer ontleende titelheldin tien jaar. Ze leert na de dood van oma het platteland en opa","['na twee tv-series, is']",4,6
. EDITORIAL USE ONLY. NOT FOR SALE FOR MARKETING OR ADVERTISING CAMPAIGNS. NO ARCHIVES. NO SALES. REUTERS,. EDITORIAL USE ONLY. NOT FOR SALE <extra_id_0> ADVERTISING CAMPAIGNS. NO ARCHIVES. NO SALES. REUTERS,['FOR MARKETING OR'],3,6
"is gewijd aan de toegepaste kunst die aan het einde van de negentiende eeuw een hoge vlucht nam. Nooit werden boekbanden, diploma-oorkondes en kalenderbladen eleganter versierd dan in deze tijd","is gewijd aan de toegepaste kunst die aan het einde van de negentiende eeuw een hoge vlucht nam. Nooit werden boekbanden, diploma-oorkondes en kalenderbladen <extra_id_0> deze tijd",['eleganter versierd dan in'],4,6
"eksten, documenten, kasboeken, notitieblokjes, brieven en foto's vertellen, naast de kunstwerken, de geschiedenis van de vermaarde kunsthandel","<extra_id_0> notitieblokjes, brieven en foto's vertellen, naast de kunstwerken, de geschiedenis van de vermaarde kunsthandel","['eksten, documenten, kasboeken,']",3,6
"Moving and Roaring. Joost Swarte ziet de jaren '50 en '60 in foto's uit het Spaarnestad Fotoarchief. T/m 24 okt in De Vleeshal, Grote Markt 16, Haarlem. Ma t/m za 11-17u, zo 12-17u","Moving and <extra_id_0> de jaren '50 en '60 in foto's uit het Spaarnestad Fotoarchief. T/m 24 okt in De Vleeshal, Grote Markt 16, Haarlem. Ma t/m za 11-17u, zo 12-17u",['Roaring. Joost Swarte ziet'],5,6
" Deze zomer in de rubriek Jong! pubers uit negen wereldsteden over zichzelf, de wereld en elkaar. Deze week:","Deze <extra_id_0> rubriek Jong! pubers uit negen wereldsteden over zichzelf, de wereld en elkaar. Deze week:",['zomer in de'],3,6
"De bezuinigingen zijn overal voelbaar. Wat zijn de concrete gevolgen, voor bijvoorbeeld de kinderboerderij of het zwembad?","De bezuinigingen zijn overal voelbaar. Wat zijn de concrete gevolgen, voor bijvoorbeeld de kinderboerderij <extra_id_0>",['of het zwembad?'],3,6
"u. The Bone Collector (Phillip Noyce, 1999, VS). Afgekloven thriller waarin verlamde politieagent Denzel Washington vanuit zijn bed onervaren prot","u. The Bone Collector (Phillip Noyce, 1999, VS). Afgekloven thriller waarin verlamde <extra_id_0> vanuit zijn bed onervaren prot",['politieagent Denzel Washington'],3,6
In Steven Soderberghs vakkundige Elmore Leonard-verfilming Out of Sight speelt George Clooney een schurk die eigenlijk een held is. In een goudgele belichting legt de meesterbankovervaller het in de achterbak van zijn vluchtauto aan met een onderkoelde FBI-agente. In meer dan,In Steven <extra_id_0> Leonard-verfilming Out of Sight speelt George Clooney een schurk die eigenlijk een held is. In een goudgele belichting legt de meesterbankovervaller het in de achterbak van <extra_id_1> met een onderkoelde FBI-agente. In meer dan,"['Soderberghs vakkundige Elmore', 'zijn vluchtauto aan']",6,6
verslaving aan sportbeoefening en drijft hilarisch de spot met raciale vooroordelen. Zwarte Wesley Snipes en blanke Woody Harrelson spelen basketbal en sluiten,verslaving aan <extra_id_0> hilarisch de spot met raciale vooroordelen. Zwarte Wesley Snipes en blanke Woody Harrelson spelen basketbal en sluiten,['sportbeoefening en drijft'],3,6
"Babylon Revisited', verplaatst naar het pas bevrijde Parijs. Van Johnson herinnert zich een romance met","Babylon Revisited', verplaatst naar het pas bevrijde Parijs. Van Johnson herinnert <extra_id_0> romance met",['zich een'],2,6
Kunsthistorici hebben altijd een sympathiserende toon aangeslagen als ze over Arent (ook wel: Aert) de Gelder schreven. Dat hij tot zijn laatste snik (hij overleed in 1727) wars van alle trends de beginselen van zijn leermeester,Kunsthistorici hebben altijd een sympathiserende toon aangeslagen als ze over Arent (ook wel: Aert) <extra_id_0> hij tot zijn laatste snik (hij overleed in 1727) wars van alle trends de beginselen van zijn leermeester,['de Gelder schreven. Dat'],5,6
Het is bruin en grijs wat de klok slaat bij De Gelder. Zijn figuren dreigen soms zelfs kopje onder te gaan in een overdaad aan schemerige aardkleuren.,Het is bruin en grijs wat de klok slaat bij De Gelder. Zijn figuren dreigen soms zelfs <extra_id_0> in een overdaad aan schemerige aardkleuren.,['kopje onder te gaan'],4,6
e ogen te laten wennen aan de permanente schemering in deze schilderijen en de eindeloze kleurnuances,e ogen te <extra_id_0> aan de permanente schemering in deze schilderijen en de eindeloze kleurnuances,['laten wennen'],2,6
"Kachels, koelkasten en stofzuigers werden aanvankelijk ontworpen door ingenieurs en technici die slechts een opdracht hadden: een apparaat maken dat goed functioneerde.","Kachels, koelkasten en stofzuigers <extra_id_0> door ingenieurs en technici die slechts een opdracht hadden: een apparaat maken dat goed functioneerde.",['werden aanvankelijk ontworpen'],3,6
hoe een apparaat er uitzag. In de Kunsthal in Rotterdam is nu een expositie van elektrische huishoudelijke apparaten,hoe een apparaat er uitzag. In de Kunsthal in Rotterdam is <extra_id_0> van elektrische huishoudelijke apparaten,['nu een expositie'],3,6
"lag kortgeleden nog op de rommelmarkt, want dat is vaak de enige plek waar oude apparaten te vinden zijn. Het elektrische huis (design) t/m 6 dec in de Kunsthal","lag kortgeleden nog op de rommelmarkt, want dat is vaak de enige plek waar oude apparaten te <extra_id_0> huis (design) t/m 6 dec in de Kunsthal",['vinden zijn. Het elektrische'],4,6
sneller een ets maakt dan een bediende naar de stad kan rennen om mosterd te halen voor de maaltijd.,sneller een ets maakt dan een <extra_id_0> stad kan rennen om mosterd te halen voor de maaltijd.,['bediende naar de'],3,6
een wonderschone tentoonstelling te zien in het Amsterdamse Gemeentearchief. In het Rembrandthuis is een,een wonderschone tentoonstelling te zien in het Amsterdamse Gemeentearchief. In <extra_id_0> is een,['het Rembrandthuis'],2,6
et een van de mooiste films van de afgelopen jaren is: de stilering in de regie en het spel van de acteurs,et een van de mooiste films <extra_id_0> jaren is: de stilering in de regie en het spel van de acteurs,['van de afgelopen'],3,6
"Prelude to a Kiss (Norman Ren, 1992, VS). Smakelijke verfilming van Broadwayhit van Craig Lucas. Alec Baldwin ziet de geest van zijn bruid Meg Ryan gestolen worden door een oude man. Echte liefde kent evenwel geen barrires in deze metafysische romance.","Prelude to a Kiss (Norman Ren, 1992, VS). Smakelijke verfilming van Broadwayhit van Craig Lucas. Alec Baldwin ziet de geest van zijn bruid <extra_id_0> worden door een oude man. Echte liefde <extra_id_1> barrires in deze metafysische romance.","['Meg Ryan gestolen', 'kent evenwel geen']",6,6
"(Francis Ford Coppola, 1974, VS). Vervolg op succesfilm werd autonoom meesterwerk: een genuanceerde sag","(Francis Ford Coppola, 1974, VS). Vervolg op <extra_id_0> autonoom meesterwerk: een genuanceerde sag",['succesfilm werd'],2,6
. Al Pacino vergelijkt als Michael Corleone anno 1958 zijn leven met het verleden van zijn vader Robert De Niro,. Al Pacino <extra_id_0> Corleone anno 1958 zijn leven met het verleden van zijn vader Robert De Niro,['vergelijkt als Michael'],3,6
". Piet van Reenen was politieman, onderzoeker, directeur van de Politieacademie en hoogleraar Politie en Mensenrechten.",". <extra_id_0> Reenen was politieman, onderzoeker, directeur van de Politieacademie en hoogleraar Politie en Mensenrechten.",['Piet van'],2,6
". Hard Target (John Woo, 1993, VS). Hollywooddebuut van om zijn `gestileerde geweld' geroemde cult-regisseur uit Hong",". Hard Target (John Woo, 1993, VS). Hollywooddebuut van om zijn `gestileerde <extra_id_0> uit Hong","[""geweld' geroemde cult-regisseur""]",3,6
"Krimp, zorg, mobiliteit, krijgsmacht, immigratie, klimaat en de Nederlandse identiteit. Onderwerpen die kiezers raken en die NRC voor de verkiezingen in fotoverhalen belicht. Op nrc.nl/","Krimp, zorg, mobiliteit, krijgsmacht, immigratie, klimaat en de <extra_id_0> kiezers raken en die NRC voor de verkiezingen in fotoverhalen belicht. Op nrc.nl/",['Nederlandse identiteit. Onderwerpen die'],4,6
"een studie naar een dienstmeisje (Sandrine Bonnaire) en een postbeambte (Isabelle Huppert), een geminacht koppel dat een moordlustig pact",een studie naar een dienstmeisje (Sandrine Bonnaire) en een postbeambte <extra_id_0> geminacht koppel dat een moordlustig pact,"['(Isabelle Huppert), een']",3,6
"de Nederlandse Vereniging van Strafrechtadvocaten, journalistenvakbond NVJ, stichting Privacy First en","de Nederlandse Vereniging van Strafrechtadvocaten, journalistenvakbond <extra_id_0> Privacy First en","['NVJ, stichting']",2,6
aan een geheimzinnig spel deel te nemen. Intrigerende film over egoverlies en het plezier van een schijnwereld.,aan een geheimzinnig spel deel te nemen. Intrigerende film over egoverlies en <extra_id_0> een schijnwereld.,['het plezier van'],3,6
"Sinds de verkiezingen van september 1989 telt de Tweede Kamer 32 nieuwkomers. Sommigen kenden het Binnenhof van zeer nabij, anderen slechts van verre. Wat waren hun ambities en","Sinds de verkiezingen van september 1989 telt <extra_id_0> nieuwkomers. Sommigen kenden het Binnenhof van zeer nabij, anderen slechts van verre. Wat waren hun ambities en",['de Tweede Kamer 32'],4,6
". WILLIAM SHAKESPEARE'S ROMEO & JULIET In zijn tweede speelfilm en Hollywooddebuut verplaatst de Australische regisseur Baz Luhrmann de tragedie uit 1597 naar Verona Beach, een fictieve twintigste-eeuwse, katholieke en Latijns-Amerikaanse metropool. Romeo (Leonardo DiCaprio) en Julia (Claire Danes) beminnen elkaar ondanks de bendeoorlog tussen hun families. Het overrompelende visuele idioom van de film, meer 'Natural Born Killers' dan 'West Side Story', citeert videoclip, bidprentjes en de halve filmhistorie.",". WILLIAM SHAKESPEARE'S ROMEO & JULIET In zijn tweede speelfilm en Hollywooddebuut verplaatst de Australische <extra_id_0> tragedie <extra_id_1> Verona Beach, een fictieve twintigste-eeuwse, katholieke en Latijns-Amerikaanse metropool. Romeo (Leonardo DiCaprio) en Julia (Claire Danes) beminnen elkaar ondanks de bendeoorlog <extra_id_2> Het overrompelende visuele idioom van de film, meer 'Natural Born Killers' dan 'West Side Story', citeert videoclip, bidprentjes en de halve filmhistorie.","['regisseur Baz Luhrmann de', 'uit 1597 naar', 'tussen hun families.']",10,6
Schrijver Arnon Grunberg gaat intern bij het Achterhoeks Circus Zanzara. Hij wil met Kerst meedoen aan hun show in Amsterdam. Hij schrijft er,Schrijver Arnon Grunberg gaat intern bij het <extra_id_0> Hij wil met Kerst meedoen aan hun show in Amsterdam. Hij schrijft er,['Achterhoeks Circus Zanzara.'],3,6
verkenning van het dorpse karakter van de grote stad. Garance Clavel is overrompelend mooi als de bleue visagiste,verkenning van het dorpse karakter van <extra_id_0> Garance Clavel is overrompelend mooi als de bleue visagiste,['de grote stad.'],3,6
? Problemen met bedrijven en overheidsdiensten? Help@NRC gaat elke woensdag op zoek naar antwoorden. Vandaag:,? Problemen met bedrijven en overheidsdiensten? Help@NRC <extra_id_0> woensdag op zoek naar antwoorden. Vandaag:,['gaat elke'],2,6
"Ik wil mijn gezicht laten zien, verantwoording afleggen en zelf antwoord geven op vragen die er zijn.","Ik wil mijn gezicht laten zien, verantwoording afleggen en zelf antwoord <extra_id_0> die er zijn.",['geven op vragen'],3,6
"maakte een leerzame publieksfilm over een psychiatrisch syndroom. Geena Davis, een alleenstaande moeder uit de Italiaanse wijk van Brooklyn, laat kind in de steek om","maakte een leerzame publieksfilm over een psychiatrisch syndroom. Geena Davis, een alleenstaande moeder uit de Italiaanse wijk van Brooklyn, <extra_id_0> steek om",['laat kind in de'],4,6
twee vrouwen en een man. Boer Brand leert lezen van onderwijzeres Lena en zijn vrouw Keet wil een kind van hen. Vierde speelfilm van,twee vrouwen <extra_id_0> Brand leert lezen van onderwijzeres Lena en zijn vrouw Keet wil een kind van hen. Vierde speelfilm van,['en een man. Boer'],4,6
". WESTERN Bevrijdende, open film over ontworteling en hunkeren naar een eigen plek heeft niets met een echte western te maken. In Bretonse road movie van Manuel Poirier trekken een Catalaan en een Rus langs 's",". WESTERN Bevrijdende, open film over ontworteling en hunkeren <extra_id_0> heeft niets met een echte western te maken. In Bretonse road movie van Manuel Poirier trekken een Catalaan en een Rus langs 's",['naar een eigen plek'],5,6
eren wegen en beproeven hun charme in gevarieerde ontmoetingen met wel over huis en haard beschikkende dames. Innemende kleine film won in Cannes de juryprijs.,eren wegen en beproeven hun charme in gevarieerde ontmoetingen met wel over huis <extra_id_0> Innemende kleine film won in Cannes de juryprijs.,['en haard beschikkende dames.'],4,6
"ictoriaanse intrigante Kate Croy (Helena Bonham-Carter) een bevrijde vrouw kan worden. Fraaie kostuums en Venetiaanse locaties vervolmaken stijlvolle, maar oppervlakkige verfilming van vertelling over liefde en berekening.","ictoriaanse intrigante Kate Croy (Helena Bonham-Carter) een bevrijde vrouw kan worden. Fraaie <extra_id_0> vervolmaken stijlvolle, maar oppervlakkige verfilming van vertelling over liefde en berekening.",['kostuums en Venetiaanse locaties'],4,6
mensen zonder werk of met werk van minder dan twaalf uur per week die bij een arbeidsbureau staan ingeschreven en di,mensen zonder werk of met werk van minder dan twaalf uur per week die bij <extra_id_0> ingeschreven en di,['een arbeidsbureau staan'],3,6
volle steun uitspreekt voor het plan van de Arabische Liga om een einde te maken aan elf maanden van,volle steun uitspreekt voor het plan van de Arabische Liga <extra_id_0> te maken aan elf maanden van,['om een einde'],3,6
